LDN,Elev,GDP,Nt,Pop,Pre,Tem
1,0.266355,0.0142967,0,0.0007777,0.321646,0.80491
1,0.0756708,0.0016484,0,0.000603,0.514026,0.945036
1,0.28987,0.0156427,0,0.001343,0.305524,0.806187
1,0.253693,0.0030567,0,0.0002182,0.417874,0.851362
1,0.2142,0.0020548,0,0.0005509,0.530308,0.885931
1,0.271631,0.0040028,0,0.0003914,0.417696,0.842562
0,0.185107,0.0049915,0.138889,0.0034546,0.27905,0.914679
1,0.452216,0.0025456,0,0.0002956,0.322892,0.6658
1,0.175158,0.0076506,0,0.0007591,0.560722,0.938375
1,0.304643,0.0035038,0,0.0002048,0.301374,0.796434
1,0.205607,0.0014311,0,0.0001179,0.502306,0.855329
1,0.378655,0.0012788,0,0.0004242,0.438854,0.707371
1,0.208622,0.003527,0,0.0001931,0.554002,0.874121
1,0.311125,0.0020197,0,0.0004222,0.45203,0.785998
1,0.28158,0.0043808,0.0246032,0.0035229,0.442925,0.787767
1,0.372927,0.0024487,0,0.0000616,0.475777,0.71793
1,0.196111,0.0013411,0,0.0002819,0.433559,0.90845
1,0.25309,0.0079051,0,0.0006692,0.295934,0.814405
1,0.160386,0.004015,0,0.0002082,0.585511,0.919665
1,0.224148,0.0011214,0,0.0001609,0.493735,0.858051
1,0.299518,0.0040312,0,0.0007742,0.413402,0.787182
1,0.463973,0.0328658,0.0380952,0.0001502,0.318689,0.654252
1,0.274646,0.0047517,0,0.0006837,0.310194,0.797411
1,0.173349,0.0011833,0,0.0002401,0.644631,0.925988
1,0.176666,0.0012923,0,0.0005365,0.472396,0.902743
-1,0.172596,0.0040357,0,0.0001226,0.363904,0.893933
1,0.313989,0.009183,0,0.0010833,0.288924,0.783777
1,0.262587,0.0017375,0,0.0001269,0.503419,0.837771
1,0.44076,0.0332044,0,0.0002287,0.323369,0.617377
1,0.353934,0.0013428,0,0.0003189,0.353308,0.719471
1,0.333886,0.0046104,0.0119048,0.0009067,0.297632,0.774627
1,0.288363,0.008915,0,0.0009087,0.308227,0.805184
-1,0.139132,0.006095,0.111905,0.0012198,0.613184,0.935245
1,0.347,0.0056141,0,0.0005691,0.341558,0.738568
1,0.458245,0.0024809,0,0.0006678,0.339516,0.662085
1,0.274194,0.0009976,0,0.0002612,0.477176,0.82329
1,0.342478,0.0018179,0,0.0002418,0.329608,0.735275
1,0.294091,0.0083524,0.0119048,0.000606,0.294245,0.782055
1,0.161592,0.0013111,0,0.0001947,0.521217,0.916657
